StopID,Name,Shortname,Municipality,Zone,X,Y,RealTimeDatabaseID
3011956,Nedre Kalbakkvei,NKV,OSL,1,603860,6646494,1
3011960,Nyland [tog],NYL,OSL,1,604520,6646625,3
3011961,Nyland stasjon [buss],NYLS,OSL,1,604476,6646675,1
3011962,Stanseveien (i østre Aker vei),STAN,OSL,1,604875,6646963,1
3011965,Stålfjæra,STÅL,OSL,1,605129,6647322,1
3011966,Falch-gården,FALG,OSL,1,604874,6647066,1
3011967,Stanseveien (i Stanseveien),STAV,OSL,1,604689,6646954,1
3011970,Grorud [tog],GRD,OSL,1,605415,6647330,3
3011971,Grorud stasjon (i Grorudvn),GRDST,OSL,1,605355,6647473,1
3011972,Grorud stasjon (Ø.Akerv mot øst),GRDS,OSL,1,605296,6647339,1
3011973,Bekkenstenveien,BKSV,OSL,1,605338,6647696,1
3011974,Nordlisvingen,NLS,OSL,1,605245,6647484,1
3011975,Grorudveien (i Stanseveien),GRV,OSL,1,605307,6647641,1
3011976,Vestbyveien (i Bekkenstenvn),VBV,OSL,1,605439,6647726,1
3011977,Vestbyveien (i Jernkroken),VBYV,OSL,1,605594,6647660,1
3012000,Økern [T-bane],ØKE,OSL,1,600924,6644795,2
3012001,Økern T (ved senteret),ØKET,OSL,1,600899,6644863,1
3012002,Økern (ved Økern torgvei),ØKER,OSL,1,600918,6644931,1
3012003,Økernkrysset (i Store Ringvei),ØKEK,OSL,1,600725,6644786,1
3012004,Haslelund,HASL,OSL,1,600996,6644317,1
3012006,Økern næringspark,ØKNÆ,OSL,1,601227,6644644,1
3012007,Lånekassen,LÅNE,OSL,1,601243,6644802,1
3012010,Risløkka [T-bane],RLØ,OSL,1,601862,6645292,2
3012011,Risløkkalleen,RLØA,OSL,1,601903,6645126,1
3012012,Nedre Risløkka,NRLØ,OSL,1,601266,6645013,1
3012013,Rabbeveien,RABV,OSL,1,601378,6645245,1
3012014,Anton Tschudis vei,ATV,OSL,1,601456,6645611,1
3012015,Lundliveien,LULV,OSL,1,601223,6645668,1
3012016,Økern aldershjem,ØKAL,OSL,1,601020,6645274,1
